Employee ID,Basic Salary,Tax,Bonus,Travel Allowance,Others
1281,31340,18834,4838,9619,2377
1739,71638,11678,8509,1586,688
450,103519,7678,2489,1255,1940
1955,78411,5281,14369,2473,1720
615,62088,9926,11244,1720,3097
4322,57360,21813,5009,3000,3368
739,104063,15820,11092,4007,2561
1632,92294,21005,2821,8946,3407
4172,76661,26042,12102,5502,2215
3666,104090,26546,13552,7190,4035
69,101869,20841,2272,6112,1111
1875,48405,29489,11078,2731,3009
870,76185,24596,11024,5901,3425
1394,98105,9632,12058,3177,783
3471,119301,16137,9888,2580,3170
3192,77620,15509,14768,4226,4594
3120,41578,17176,5836,5590,2127
2116,88248,24047,11556,2852,2111
3966,78880,14127,14061,1081,1216
377,60202,15534,5214,4850,1181
2324,109963,6688,2769,4012,3939
2816,54381,26978,3841,3716,4756
1942,93320,27319,11441,8192,4769
205,67226,14074,8941,8501,2022
745,114005,15711,12316,6301,1859
3137,49095,5816,3364,2455,2573
1550,69615,8866,12936,7952,2289
4421,82856,27572,6363,4112,4075
2426,61210,18167,2117,7588,3870
2865,35802,5677,8447,8562,2984
3974,41841,15446,12355,9107,2318
4777,110705,18815,1812,9752,2558
671,94660,23873,1037,6381,3166
3418,48921,12232,3460,3104,1933
3066,77505,15506,5338,3053,3905
1728,36745,7446,6483,8726,3884
4027,61443,23272,4719,1944,3572
2933,45016,6720,8231,9085,1022
3815,108755,5223,10046,9770,2193
1704,59012,17952,13138,9353,4683
3087,117617,5934,11440,8464,2789
3265,95837,6308,3354,6736,1655
4542,48549,18497,5042,1774,1097
54,107974,13417,10989,1056,2145
692,100822,5199,1174,7671,2658
4100,65422,25490,10904,8226,2836
257,51251,20244,12211,5044,2357
3433,60466,20857,12255,1545,2214
834,67860,10074,7740,3980,4238
2530,36580,20362,1671,5906,3284
2897,112551,25377,1693,7395,3676
1162,78201,28456,9739,6498,702
3523,87705,25317,6976,4388,3398
473,107919,11933,2122,4203,4072
2027,45536,22981,4297,2412,1764
1638,110692,21388,4986,1571,2959
3549,99936,21274,3596,2740,1737
2241,81922,13471,5368,4927,2054
2355,55344,12590,4023,1347,4242
4855,62573,8019,9975,1844,552
906,54780,10357,10401,3665,4082
1184,88210,23748,10131,5592,3659
2220,84262,21510,13739,6969,1171
3645,89969,15988,2528,7074,4604
1089,30661,9826,1093,4590,1190
1193,96214,8249,10522,9734,582
2129,101899,25285,10953,1215,4820
3452,63067,26541,7660,7613,4068
3842,112177,16893,6049,2369,2977
332,114682,24423,3221,9477,1951
1212,87146,25794,3742,9052,2520
1049,82452,5016,2096,4059,2625
4089,74505,29388,9191,1050,1675
2276,53707,12083,14456,6538,1579
1635,35647,10075,6003,2725,2904
3606,44064,17566,14975,5566,1782
503,87083,25326,3103,8857,1034
3570,75411,17739,3742,8826,4348
1080,85835,15905,5729,2329,2953
1335,61195,17893,11483,5533,2662
4648,58979,27556,5299,4322,2326
4019,69539,25001,4662,3898,4498
4217,87752,15003,9207,9940,4192
2074,53992,17388,1125,1523,2339
4055,63288,19988,6997,9846,4559
23,35642,11230,12614,5601,830
1850,89876,13661,6674,3953,3272
2164,76698,6324,5174,4189,2027
480,33884,8277,12764,3108,4683
2355,78385,6624,9980,2204,1073
2749,65509,12249,6498,5039,4195
2540,61649,21502,7407,5082,1023
4865,109017,12303,3352,7456,1671
1144,66300,12940,10703,9456,3053
2334,41036,15196,7883,6148,4679
2646,97694,11520,5220,4334,1921
839,114571,7475,13905,1711,2731
1850,104756,7767,5837,6710,2716
3387,39747,14619,12909,1331,2655
2853,76692,21626,9272,9159,1351
2210,70230,10080,8015,4834,1679
1393,86777,17230,10836,9343,4095
3257,92108,26848,1174,9899,4867
1960,69806,26106,9867,8210,2359
276,80387,18735,9539,9612,1237
4625,112038,13207,11104,6804,3312
1460,91824,9611,10582,8657,3292
3332,35518,27793,2558,8733,3318
959,80350,13114,2438,1252,2663
1842,36277,11703,3925,6827,3576
4060,105877,24166,7986,4555,4661
4146,77558,28243,5819,9484,1026
3378,53613,11163,6371,9360,948
2525,30959,23207,5703,8807,3720
488,82100,21065,12984,8552,4661
2128,79717,9923,7712,1036,2351
1941,35936,13202,7377,2444,619
2454,58678,26523,1357,7022,4984
4015,108691,13470,4397,5391,4882
3798,53042,16134,10280,7578,3347
4351,114299,17620,1292,8904,2290
960,41642,27050,6443,8793,3517
2564,49923,10520,10182,7677,850
464,111832,28305,12594,8466,2702
1937,81860,7085,3576,7717,3832
4132,114255,26453,7278,8861,2052
16,39227,22490,1819,8183,2750
4071,98580,13223,12682,7420,3737
919,105186,19327,5225,5744,4009
1614,40412,23232,4620,5378,547
823,61040,8608,8929,2662,2776
2121,115947,18197,7712,1998,4296
3392,78842,17332,12620,5302,4524
1967,49500,29491,11699,8830,3684
